Landing page report
All time
Landing page,Selected by,Mobile speed score,Mobile-friendly click rate,Valid AMP click rate,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost
https://gulmohorbanquethall.com/themes-decors/,UNKNOWN, --, --, --,0,"1,717",0.00%,INR,0,0.00
https://www.gulmohorbanquethall.com/image-gallery/1,UNKNOWN, --, --, --,49,"15,517",0.32%,INR,12.83,628.90
https://gulmohorbanquethall.com/marriage-hall-in-pune/,AUTOMATIC, --, --, --,219,"1,765",12.41%,INR,3.18,695.61
https://www.gulmohorbanquethall.com/venue-for-a-birthday-party/,UNKNOWN,6, --, --,69,"1,409",4.90%,INR,16.21,1118.69
https://www.gulmohorbanquethall.com,AUTOMATIC, --, --, --,0,1,0.00%,INR,0,0.00
https://www.gulmohorbanquethall.com,ADVERTISER, --, --, --,0,1,0.00%,INR,0,0.00
https://www.gulmohorbanquethall.com/baby-shower/,UNKNOWN, --, --, --,5,"3,268",0.15%,INR,40.32,201.59
https://gulmohorbanquethall.nowfloats.com/,UNKNOWN, --, --, --,0,4,0.00%,INR,0,0.00
https://www.gulmohorbanquethall.com/venue-for-a-birthday-party/,ADVERTISER,7, --, --,53,431,12.30%,INR,4.51,239.16
https://gulmohorbanquethall.com/,ADVERTISER, --, --, --,0,801,0.00%,INR,0,0.00
https://www.gulmohorbanquethall.com/why-choose-us/,UNKNOWN, --, --, --,0,65,0.00%,INR,0,0.00
https://gulmohorbanquethall.com/about-us-2/,AUTOMATIC, --, --, --,39,210,18.57%,INR,2.42,94.50
https://gulmohorbanquethall.com/why-choose-us/,AUTOMATIC, --, --, --,23,151,15.23%,INR,0.84,19.42
https://www.gulmohorbanquethall.com/services/,UNKNOWN, --, --, --,27,"14,758",0.18%,INR,38.71,1045.27
https://www.gulmohorbanquethall.com/photos/,ADVERTISER, --, --, --,2,304,0.66%,INR,37.35,74.70
https://www.gulmohorbanquethall.com/index.php/birthday-party/,AUTOMATIC, --, --, --,0,5,0.00%,INR,0,0.00
https://www.gulmohorbanquethall.com/index.php/birthday-party/,UNKNOWN, --, --, --,3,"4,276",0.07%,INR,2.54,7.63
https://www.gulmohorbanquethall.com/catering/,AUTOMATIC, --, --, --,0,2,0.00%,INR,0,0.00
https://www.gulmohorbanquethall.com/themes-decors/,AUTOMATIC, --, --, --,0,1,0.00%,INR,0,0.00
https://gulmohorbanquethall.com/landing-page/,UNKNOWN, --, --, --,0,2,0.00%,INR,0,0.00
https://gulmohorbanquethall.com/index.php/themes-decors/,ADVERTISER, --, --, --,0,414,0.00%,INR,0,0.00
https://www.gulmohorbanquethall.com/landing-page/,ADVERTISER,7, --, --,504,"5,102",9.88%,INR,8.92,4497.84
https://www.gulmohorbanquethall.com/index.php/catering/,ADVERTISER, --, --, --,0,1,0.00%,INR,0,0.00
https://gulmohorbanquethall.com/banquet-halls-for-corporate-events/,UNKNOWN, --, --, --,0,2,0.00%,INR,0,0.00
https://www.gulmohorbanquethall.com/engagement/,UNKNOWN, --, --, --,53,"1,288",4.11%,INR,15.95,845.55
https://www.gulmohorbanquethall.com/themes-decors/,ADVERTISER, --, --, --,0,393,0.00%,INR,0,0.00
https://www.gulmohorbanquethall.com/landing-page/{ignore}?https://www.gulmohorbanquethall.com/landing-page/,ADVERTISER, --, --, --,11,124,8.87%,INR,4.89,53.77
https://www.gulmohorbanquethall.com/catering/,UNKNOWN, --, --, --,0,606,0.00%,INR,0,0.00
https://gulmohorbanquethall.com/,AUTOMATIC, --, --, --,144,963,14.95%,INR,3.43,494.48
https://gulmohorbanquethall.com/marriage-hall-in-pune/,UNKNOWN, --, --, --,117,"3,837",3.05%,INR,10.13,1184.75
https://www.gulmohorbanquethall.com/engagement/{ignore}?https://www.gulmohorbanquethall.com/landing-page/,UNKNOWN,6, --, --,256,"2,247",11.39%,INR,14.69,3761.70
https://gulmohorbanquethall.com/why-choose-us/,UNKNOWN, --, --, --,60,"1,191",5.04%,INR,14.37,862.09
https://www.gulmohorbanquethall.com/index.php/catering/,AUTOMATIC, --, --, --,0,1,0.00%,INR,0,0.00
https://www.gulmohorbanquethall.com/baby-shower/,ADVERTISER, --, --, --,6,"1,858",0.32%,INR,16.12,96.72
https://www.gulmohorbanquethall.com/shadwal/,UNKNOWN, --, --, --,0,12,0.00%,INR,0,0.00
https://gulmohorbanquethall.com/google-review/,AUTOMATIC, --, --, --,0,4,0.00%,INR,0,0.00
https://gulmohorbanquethallpune.com/,ADVERTISER,8, --, --,"30,875","316,366",9.76%,INR,1.40,43081.81
https://www.gulmohorbanquethall.com/latest-updates/1,UNKNOWN, --, --, --,9,"13,984",0.06%,INR,9.21,82.86
https://gulmohorbanquethall.com/engagement/,AUTOMATIC, --, --, --,25,288,8.68%,INR,1.00,24.94
Total: Landing pages, --,7,56%, --,"72,493","2,912,770",2.49%,INR,3.25,235383.59
Total: Account,,7,56%, --,"152,094","12,368,415",1.23%,INR,4.09,622174.74
Total: Search,,6,56%, --,"45,636","2,695,521",1.69%,INR,8.36,381435.00
Total: Performance Max,,7, --, --,"37,241","402,683",9.25%,INR,1.50,55940.79
Total: Display,, --, --, --,0,0, --,INR,0,0.00
Total: Smart,, --, --, --,"69,217","9,270,211",0.75%,INR,2.67,184798.96
