"Page ID","Page name","Data comment",Date,"Estimated earnings (USD)","Estimated earnings by Video (USD)","Estimated Stars earnings (USD)","Monetisable 1-minute video views","Monetisable view RPM","Ad CPM (USD)","Unique user engagements","Overall negative feedback","Overall negative feedback: Hide all","Overall negative feedback: Hide","Overall negative feedback: Report as spam","Overall negative feedback: Unlike Page","Overall negative feedback: Click X button","Unique negative feedback from users"
1619647795010416,Shreelaxmistonedepot,,02/16/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,02/17/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,02/18/2025,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,02/19/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,02/20/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,02/21/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,02/22/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,02/23/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,02/24/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,02/25/2025,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,02/26/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,02/27/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,02/28/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/01/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/02/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/03/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/04/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/05/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/06/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/07/2025,0,0,0,0,0,0,3,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/08/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/09/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/10/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/11/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/12/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/13/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/14/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/15/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/16/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/17/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/18/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/19/2025,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/20/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/21/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/22/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/23/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/24/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/25/2025,0,0,0,0,0,0,3,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/26/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/27/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/28/2025,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/29/2025,0,0,0,0,0,0,3,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/30/2025,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,03/31/2025,0,0,0,0,0,0,3,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/01/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/02/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/03/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619647795010416,Shreelaxmistonedepot,,04/04/2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0
