Ad schedule day and hour report
All time
Day of the week,Hour of the day,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Thursday,0,Search campaign| wedding | Munj| Dec-25,42,5,11.90%,INR,1.45,7.25,0.00%,0.00,0.00
Monday,18,GULMOHOR | GMB,"88,990",598,0.67%,INR,2.54,1521.66,20.07%,120.00,12.68
Sunday,16,GULMOHOR | GMB,"84,914",655,0.77%,INR,2.86,1870.63,22.14%,145.00,12.90
Thursday,9,GULMOHOR | SEARCH,"27,115",325,1.20%,INR,6.59,2140.93,4.00%,13.00,164.69
Saturday,3,GULMOHOR | GMB,"7,998",46,0.58%,INR,2.51,115.35,8.70%,4.00,28.84
Monday,14,GULMOHOR | GMB,"80,720",688,0.85%,INR,2.51,1723.67,17.19%,118.25,14.58
Friday,21,GULMOHOR | GMB,"44,814",302,0.67%,INR,2.84,856.60,26.82%,81.00,10.58
Tuesday,20,GULMOHOR | SEARCH,"5,998",173,2.88%,INR,4.98,861.67,10.40%,18.00,47.87
Friday,12,GULMOHOR | GMB,"97,448",807,0.83%,INR,2.88,2321.83,19.74%,159.33,14.57
Friday,14,GULMOHOR | SEARCH,"9,190",294,3.20%,INR,10.25,3012.18,10.88%,32.00,94.13
Monday,12,GULMOHOR | GMB,"85,863",732,0.85%,INR,2.45,1793.36,20.63%,151.00,11.88
Tuesday,20,Performance Max I GBH Feb-25,"3,187",336,10.54%,INR,1.42,476.15,79.46%,267.00,1.78
Wednesday,11,GULMOHOR | SEARCH,"18,413",476,2.59%,INR,10.96,5218.33,3.78%,18.00,289.91
Monday,15,GULMOHOR | SEARCH,"11,622",343,2.95%,INR,10.88,3732.70,4.66%,16.00,233.29
Saturday,23,Performance Max I GBH Feb-25,148,8,5.41%,INR,1.67,13.40,37.50%,3.00,4.47
Monday,18,Search campaign| wedding | Munj| Dec-25,140,28,20.00%,INR,0.80,22.31,89.29%,25.00,0.89
Saturday,9,Performance Max I GBH Feb-25,"3,064",274,8.94%,INR,1.99,544.26,73.36%,201.00,2.71
Sunday,12,Performance Max I GBH Feb-25,"5,172",618,11.95%,INR,1.10,681.69,85.11%,526.00,1.30
Monday,2,GULMOHOR | SEARCH,"11,089",93,0.84%,INR,3.68,342.43,0.00%,0.00,0.00
Thursday,11,GULMOHOR | SEARCH,"18,785",441,2.35%,INR,13.42,5918.08,5.67%,25.00,236.72
Thursday,23,Search campaign| wedding | Munj| Dec-25,24,2,8.33%,INR,0.45,0.89,0.00%,0.00,0.00
Saturday,19,Performance Max I GBH Feb-25,"4,891",469,9.59%,INR,0.97,456.14,83.16%,390.00,1.17
Friday,7,Performance Max I GBH Feb-25,"1,086",113,10.41%,INR,1.59,180.14,64.60%,73.00,2.47
Tuesday,4,Performance Max I GBH Feb-25,76,2,2.63%,INR,3.39,6.77,0.00%,0.00,0.00
Thursday,2,Search campaign| wedding | Munj| Dec-25,13,3,23.08%,INR,0.43,1.30,0.00%,0.00,0.00
Saturday,4,GULMOHOR | GMB,"9,730",62,0.64%,INR,2.89,178.96,20.97%,13.00,13.77
Sunday,17,GULMOHOR | SEARCH,"8,992",349,3.88%,INR,11.74,4097.48,13.47%,47.00,87.18
Thursday,1,GULMOHOR | SEARCH,"19,806",168,0.85%,INR,3.84,644.32,0.00%,0.00,0.00
Saturday,0,Search campaign| wedding | Munj| Dec-25,5,1,20.00%,INR,0.42,0.42,100.00%,1.00,0.42
Tuesday,21,GULMOHOR | SEARCH,"5,574",124,2.22%,INR,7.07,876.16,5.65%,7.00,125.17
Monday,15,Search campaign| wedding | Munj| Dec-25,83,12,14.46%,INR,1.23,14.81,100.00%,12.00,1.23
Sunday,4,GULMOHOR | SEARCH,"8,589",85,0.99%,INR,2.61,221.43,0.00%,0.00,0.00
Wednesday,4,GULMOHOR | SEARCH,"7,436",76,1.02%,INR,2.71,205.61,0.00%,0.00,0.00
Thursday,6,Search campaign| wedding | Munj| Dec-25,11,4,36.36%,INR,2.64,10.57,0.00%,0.00,0.00
Sunday,1,Search campaign| wedding | Munj| Dec-25,7,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
Thursday,19,Search campaign| wedding | Munj| Dec-25,67,13,19.40%,INR,2.05,26.63,0.00%,0.00,0.00
Thursday,13,Performance Max I GBH Feb-25,"4,341",414,9.54%,INR,1.58,654.85,70.77%,293.00,2.23
Tuesday,9,Search campaign| wedding | Munj| Dec-25,77,19,24.68%,INR,1.16,22.02,94.74%,18.00,1.22
Wednesday,6,GULMOHOR | GMB,"25,049",139,0.55%,INR,2.19,304.02,12.95%,18.00,16.89
Tuesday,0,Search campaign| wedding | Munj| Dec-25,9,2,22.22%,INR,1.40,2.81,100.00%,2.00,1.40
Saturday,22,GULMOHOR | SEARCH,"5,000",138,2.76%,INR,2.44,336.81,4.35%,6.00,56.14
Saturday,7,GULMOHOR | GMB,"50,561",352,0.70%,INR,2.41,848.98,23.86%,84.00,10.11
Sunday,18,Search campaign| wedding | Munj| Dec-25,123,23,18.70%,INR,0.54,12.37,117.39%,27.00,0.46
Thursday,19,Performance Max I GBH Feb-25,"4,778",418,8.75%,INR,1.25,523.72,87.08%,364.00,1.44
Saturday,0,GULMOHOR | SEARCH,"43,957",337,0.77%,INR,2.64,890.53,0.00%,0.00,0.00
Tuesday,9,Performance Max I GBH Feb-25,"2,322",217,9.35%,INR,1.60,347.23,74.19%,161.00,2.16
Friday,2,Search campaign| wedding | Munj| Dec-25,9,1,11.11%,INR,0.44,0.44,0.00%,0.00,0.00
Saturday,23,GULMOHOR | GMB,"22,555",139,0.62%,INR,2.42,335.69,22.30%,31.00,10.83
Saturday,7,Performance Max I GBH Feb-25,"1,228",104,8.47%,INR,2.59,269.72,67.31%,70.00,3.85
Saturday,4,GULMOHOR | SEARCH,"6,024",52,0.86%,INR,3.71,192.67,0.00%,0.00,0.00
Wednesday,7,GULMOHOR | GMB,"50,543",318,0.63%,INR,2.29,727.79,12.58%,40.00,18.19
Sunday,12,Search campaign| wedding | Munj| Dec-25,126,21,16.67%,INR,0.56,11.69,95.24%,20.00,0.58
Monday,18,Performance Max I GBH Feb-25,"3,586",341,9.51%,INR,1.90,647.17,85.92%,293.00,2.21
Sunday,12,GULMOHOR | SEARCH,"18,135",505,2.78%,INR,11.57,5840.36,10.69%,54.00,108.15
Thursday,16,Performance Max I GBH Feb-25,"4,455",382,8.57%,INR,1.50,571.54,65.45%,250.00,2.29
Thursday,10,Search campaign| wedding | Munj| Dec-25,116,25,21.55%,INR,0.79,19.79,4.00%,1.00,19.79
Sunday,21,GULMOHOR | SEARCH,"5,837",107,1.83%,INR,5.69,608.82,1.87%,2.00,304.41
Wednesday,10,Search campaign| wedding | Munj| Dec-25,90,19,21.11%,INR,3.51,66.65,73.68%,14.00,4.76
Sunday,15,Performance Max I GBH Feb-25,"4,432",419,9.45%,INR,1.27,530.68,78.76%,330.00,1.61
Sunday,14,GULMOHOR | GMB,"84,332",645,0.76%,INR,2.89,1863.53,26.78%,172.75,10.79
Sunday,9,Performance Max I GBH Feb-25,"3,308",350,10.58%,INR,1.16,407.63,81.43%,285.00,1.43
Monday,8,Search campaign| wedding | Munj| Dec-25,16,3,18.75%,INR,0.35,1.05,66.67%,2.00,0.53
Wednesday,17,GULMOHOR | SEARCH,"8,496",273,3.21%,INR,13.22,3609.67,8.06%,22.00,164.08
Saturday,12,Performance Max I GBH Feb-25,"5,567",460,8.26%,INR,2.58,1187.66,77.83%,358.00,3.32
Monday,22,GULMOHOR | GMB,"43,326",283,0.65%,INR,2.40,680.03,9.89%,28.00,24.29
Monday,14,Search campaign| wedding | Munj| Dec-25,71,10,14.08%,INR,0.65,6.48,80.00%,8.00,0.81
Thursday,20,GULMOHOR | SEARCH,"7,173",168,2.34%,INR,5.31,891.40,9.52%,16.00,55.71
Tuesday,2,GULMOHOR | SEARCH,"12,373",111,0.90%,INR,3.09,343.26,0.00%,0.00,0.00
Saturday,13,GULMOHOR | SEARCH,"11,713",411,3.51%,INR,12.90,5303.37,5.60%,23.00,230.58
Sunday,20,GULMOHOR | GMB,"49,289",413,0.84%,INR,2.80,1154.82,21.55%,89.00,12.98
Monday,4,Performance Max I GBH Feb-25,95,8,8.42%,INR,1.05,8.43,100.00%,8.00,1.05
Thursday,6,GULMOHOR | GMB,"26,016",150,0.58%,INR,2.58,386.57,12.67%,19.00,20.35
Monday,21,Search campaign| wedding | Munj| Dec-25,80,12,15.00%,INR,1.29,15.47,91.67%,11.00,1.41
Saturday,6,GULMOHOR | GMB,"28,160",152,0.54%,INR,2.60,395.02,19.74%,30.00,13.17
Monday,16,Performance Max I GBH Feb-25,"3,339",331,9.91%,INR,1.41,468.21,79.15%,262.00,1.79
Thursday,20,Performance Max I GBH Feb-25,"3,917",360,9.19%,INR,1.22,439.27,69.44%,250.00,1.76
Saturday,17,Performance Max I GBH Feb-25,"4,310",446,10.35%,INR,1.25,557.13,78.92%,352.00,1.58
Sunday,16,Search campaign| wedding | Munj| Dec-25,88,12,13.64%,INR,0.67,8.06,91.67%,11.00,0.73
Tuesday,17,GULMOHOR | SEARCH,"6,989",291,4.16%,INR,9.67,2813.51,11.51%,33.50,83.99
Sunday,6,Search campaign| wedding | Munj| Dec-25,7,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
Sunday,2,Search campaign| wedding | Munj| Dec-25,10,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
Monday,1,Search campaign| wedding | Munj| Dec-25,6,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
Wednesday,4,Performance Max I GBH Feb-25,70,0,0.00%,INR,0,0.47,0.00%,0.00,0.00
Tuesday,5,Performance Max I GBH Feb-25,146,8,5.48%,INR,5.34,42.71,75.00%,6.00,7.12
Saturday,9,Search campaign| wedding | Munj| Dec-25,67,19,28.36%,INR,0.61,11.54,94.74%,18.00,0.64
Wednesday,21,GULMOHOR | GMB,"53,864",413,0.77%,INR,2.45,1010.96,15.13%,62.50,16.18
Friday,20,GULMOHOR | SEARCH,"6,445",150,2.33%,INR,5.59,838.80,6.67%,10.00,83.88
Monday,5,GULMOHOR | SEARCH,"14,147",131,0.93%,INR,2.71,355.30,0.00%,0.00,0.00
Thursday,8,GULMOHOR | SEARCH,"25,194",262,1.04%,INR,3.58,936.66,3.82%,10.00,93.67
Sunday,9,GULMOHOR | SEARCH,"27,052",422,1.56%,INR,7.87,3322.36,6.87%,29.00,114.56
Saturday,19,GULMOHOR | SEARCH,"7,150",186,2.60%,INR,7.15,1330.05,11.29%,21.00,63.34
Friday,13,Performance Max I GBH Feb-25,"4,274",368,8.61%,INR,2.01,739.59,84.51%,311.00,2.38
Friday,1,Performance Max I GBH Feb-25,204,12,5.88%,INR,3.01,36.09,41.67%,5.00,7.22
Monday,21,GULMOHOR | GMB,"52,442",351,0.67%,INR,2.35,826.42,14.81%,52.00,15.89
Wednesday,5,GULMOHOR | GMB,"11,923",62,0.52%,INR,2.45,151.65,17.74%,11.00,13.79
Monday,4,GULMOHOR | SEARCH,"8,865",86,0.97%,INR,3.06,263.12,0.00%,0.00,0.00
Monday,10,GULMOHOR | GMB,"85,856",623,0.73%,INR,2.56,1597.42,18.46%,115.00,13.89
Tuesday,3,GULMOHOR | GMB,"6,264",59,0.94%,INR,1.63,96.09,18.64%,11.00,8.74
Saturday,16,GULMOHOR | GMB,"81,936",655,0.80%,INR,2.88,1886.31,22.75%,149.00,12.66
Saturday,5,Performance Max I GBH Feb-25,113,4,3.54%,INR,1.35,5.39,50.00%,2.00,2.70
Tuesday,6,Search campaign| wedding | Munj| Dec-25,7,1,14.29%,INR,0.44,0.44,100.00%,1.00,0.44
Sunday,1,GULMOHOR | SEARCH,"21,090",170,0.81%,INR,4.40,748.09,0.00%,0.00,0.00
Tuesday,14,GULMOHOR | GMB,"77,147",630,0.82%,INR,2.40,1512.78,18.25%,115.00,13.15
Thursday,1,GULMOHOR | GMB,"16,353",155,0.95%,INR,2.93,454.18,12.26%,19.00,23.90
Wednesday,9,GULMOHOR | GMB,"83,463",597,0.72%,INR,2.34,1395.46,18.93%,113.00,12.35
Sunday,17,Search campaign| wedding | Munj| Dec-25,107,19,17.76%,INR,0.56,10.67,100.00%,19.00,0.56
Wednesday,22,Performance Max I GBH Feb-25,"1,823",152,8.34%,INR,0.95,143.71,40.79%,62.00,2.32
Friday,3,GULMOHOR | GMB,"7,000",50,0.71%,INR,2.58,128.83,4.00%,2.00,64.42
Tuesday,0,Performance Max I GBH Feb-25,903,33,3.65%,INR,2.37,78.25,51.52%,17.00,4.60
Sunday,8,Performance Max I GBH Feb-25,"2,123",233,10.98%,INR,1.10,256.47,87.98%,205.00,1.25
Thursday,2,GULMOHOR | SEARCH,"10,624",89,0.84%,INR,2.82,250.73,0.00%,0.00,0.00
Sunday,16,GULMOHOR | SEARCH,"10,298",372,3.61%,INR,12.33,4586.94,13.44%,50.00,91.74
Sunday,3,GULMOHOR | GMB,"8,148",53,0.65%,INR,2.35,124.35,20.75%,11.00,11.30
Sunday,0,GULMOHOR | GMB,"32,435",221,0.68%,INR,2.81,621.27,15.84%,35.00,17.75
Friday,15,Search campaign| wedding | Munj| Dec-25,55,14,25.45%,INR,0.72,10.10,100.00%,14.00,0.72
Thursday,19,GULMOHOR | SEARCH,"9,332",282,3.02%,INR,8.16,2302.32,7.09%,20.00,115.12
Friday,20,Performance Max I GBH Feb-25,"3,780",301,7.96%,INR,1.38,414.71,74.75%,225.00,1.84
Tuesday,15,GULMOHOR | GMB,"76,697",605,0.79%,INR,2.48,1501.61,19.01%,115.00,13.06
Sunday,0,GULMOHOR | SEARCH,"54,612",446,0.82%,INR,3.17,1412.09,0.00%,0.00,0.00
Wednesday,18,Performance Max I GBH Feb-25,"4,343",426,9.81%,INR,1.37,583.93,83.57%,356.00,1.64
Sunday,4,GULMOHOR | GMB,"8,920",60,0.67%,INR,2.97,177.98,23.33%,14.00,12.71
Sunday,7,Search campaign| wedding | Munj| Dec-25,16,1,6.25%,INR,0.44,0.44,100.00%,1.00,0.44
Tuesday,8,Performance Max I GBH Feb-25,"1,593",124,7.78%,INR,3.20,397.14,83.87%,104.00,3.82
Friday,18,GULMOHOR | GMB,"73,907",566,0.77%,INR,2.91,1646.33,20.14%,114.00,14.44
Wednesday,9,Search campaign| wedding | Munj| Dec-25,63,9,14.29%,INR,1.49,13.37,55.56%,5.00,2.67
Tuesday,8,Search campaign| wedding | Munj| Dec-25,33,5,15.15%,INR,0.55,2.75,120.00%,6.00,0.46
Wednesday,9,Performance Max I GBH Feb-25,"3,061",236,7.71%,INR,1.53,360.29,64.83%,153.00,2.35
Thursday,21,Performance Max I GBH Feb-25,"3,130",265,8.47%,INR,1.10,291.13,41.13%,109.00,2.67
Friday,10,Performance Max I GBH Feb-25,"3,873",368,9.50%,INR,1.47,542.72,88.86%,327.00,1.66
Thursday,5,GULMOHOR | SEARCH,"13,243",138,1.04%,INR,2.93,404.90,0.00%,0.00,0.00
Thursday,20,GULMOHOR | GMB,"62,719",365,0.58%,INR,3.16,1153.50,19.73%,72.00,16.02
Tuesday,23,GULMOHOR | SEARCH,"3,018",68,2.25%,INR,1.73,117.31,0.00%,0.00,0.00
Sunday,9,GULMOHOR | GMB,"86,323",621,0.72%,INR,2.29,1424.35,24.15%,150.00,9.50
Tuesday,17,GULMOHOR | GMB,"83,824",624,0.74%,INR,2.55,1590.97,24.63%,153.67,10.35
Monday,1,Performance Max I GBH Feb-25,155,5,3.23%,INR,1.01,5.07,40.00%,2.00,2.53
Tuesday,12,GULMOHOR | SEARCH,"13,599",403,2.96%,INR,12.56,5062.37,5.21%,21.00,241.07
Saturday,5,Search campaign| wedding | Munj| Dec-25,4,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
Saturday,4,Search campaign| wedding | Munj| Dec-25,1,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
Thursday,7,GULMOHOR | SEARCH,"36,470",357,0.98%,INR,2.75,983.30,1.68%,6.00,163.88
Monday,20,Search campaign| wedding | Munj| Dec-25,87,14,16.09%,INR,1.25,17.53,114.29%,16.00,1.10
Friday,0,Search campaign| wedding | Munj| Dec-25,43,5,11.63%,INR,0.75,3.75,0.00%,0.00,0.00
Tuesday,8,GULMOHOR | SEARCH,"34,141",455,1.33%,INR,3.45,1571.34,1.76%,8.00,196.42
Saturday,13,Search campaign| wedding | Munj| Dec-25,123,24,19.51%,INR,1.41,33.90,91.67%,22.00,1.54
Saturday,1,Search campaign| wedding | Munj| Dec-25,5,1,20.00%,INR,0.43,0.43,0.00%,0.00,0.00
Monday,11,Performance Max I GBH Feb-25,"3,869",349,9.02%,INR,1.39,483.45,75.64%,264.00,1.83
Thursday,11,Search campaign| wedding | Munj| Dec-25,98,21,21.43%,INR,1.12,23.61,4.76%,1.00,23.61
Sunday,17,Performance Max I GBH Feb-25,"5,028",536,10.66%,INR,1.14,610.76,84.89%,455.00,1.34
Monday,18,GULMOHOR | SEARCH,"8,484",247,2.91%,INR,9.43,2330.01,10.93%,27.00,86.30
Friday,19,GULMOHOR | GMB,"66,330",449,0.68%,INR,2.90,1303.87,26.21%,117.67,11.08
Tuesday,3,GULMOHOR | SEARCH,"8,495",80,0.94%,INR,2.34,187.32,0.00%,0.00,0.00
Sunday,1,Performance Max I GBH Feb-25,168,12,7.14%,INR,1.83,21.98,116.67%,14.00,1.57
Saturday,2,GULMOHOR | SEARCH,"8,765",62,0.71%,INR,2.99,185.21,0.00%,0.00,0.00
Thursday,15,GULMOHOR | GMB,"78,688",662,0.84%,INR,2.83,1875.72,23.26%,154.00,12.18
Friday,6,GULMOHOR | SEARCH,"23,498",212,0.90%,INR,2.30,487.51,0.00%,0.00,0.00
Thursday,14,GULMOHOR | SEARCH,"11,271",375,3.33%,INR,12.82,4808.61,4.53%,17.00,282.86
Friday,11,GULMOHOR | SEARCH,"17,450",495,2.84%,INR,16.84,8337.82,7.27%,36.00,231.61
Wednesday,6,GULMOHOR | SEARCH,"26,576",257,0.97%,INR,2.75,706.59,0.00%,0.00,0.00
Sunday,5,Performance Max I GBH Feb-25,97,7,7.22%,INR,2.42,16.92,57.14%,4.00,4.23
Sunday,13,Performance Max I GBH Feb-25,"4,766",538,11.29%,INR,1.13,607.21,82.90%,446.00,1.36
Wednesday,7,GULMOHOR | SEARCH,"34,987",339,0.97%,INR,2.72,921.29,1.18%,4.00,230.32
Wednesday,22,Search campaign| wedding | Munj| Dec-25,24,3,12.50%,INR,1.38,4.14,0.00%,0.00,0.00
Tuesday,16,Search campaign| wedding | Munj| Dec-25,112,22,19.64%,INR,1.48,32.64,59.09%,13.00,2.51
Thursday,12,GULMOHOR | SEARCH,"14,270",400,2.80%,INR,12.38,4953.70,3.88%,15.50,319.59
Saturday,22,Performance Max I GBH Feb-25,"1,486",124,8.34%,INR,0.86,106.04,55.65%,69.00,1.54
Thursday,20,Search campaign| wedding | Munj| Dec-25,55,8,14.55%,INR,0.95,7.62,0.00%,0.00,0.00
Friday,20,GULMOHOR | GMB,"52,591",346,0.66%,INR,3.41,1178.62,23.99%,83.00,14.20
Sunday,21,GULMOHOR | GMB,"35,267",274,0.78%,INR,2.50,684.57,20.80%,57.00,12.01
Wednesday,12,Search campaign| wedding | Munj| Dec-25,60,6,10.00%,INR,1.19,7.16,100.00%,6.00,1.19
Friday,1,GULMOHOR | SEARCH,"16,227",146,0.90%,INR,3.16,461.46,0.00%,0.00,0.00
Tuesday,6,GULMOHOR | SEARCH,"29,512",279,0.95%,INR,3.07,855.78,0.00%,0.00,0.00
Saturday,4,Performance Max I GBH Feb-25,103,5,4.85%,INR,1.07,5.33,60.00%,3.00,1.78
Monday,7,Search campaign| wedding | Munj| Dec-25,25,3,12.00%,INR,0.65,1.95,166.67%,5.00,0.39
Friday,0,Performance Max I GBH Feb-25,433,24,5.54%,INR,1.49,35.81,70.83%,17.00,2.11
Tuesday,22,GULMOHOR | GMB,"40,822",304,0.74%,INR,2.58,785.67,14.14%,43.00,18.27
Monday,6,GULMOHOR | SEARCH,"23,606",221,0.94%,INR,2.92,644.55,0.00%,0.00,0.00
Sunday,13,Search campaign| wedding | Munj| Dec-25,99,16,16.16%,INR,0.56,8.93,137.50%,22.00,0.41
Friday,15,GULMOHOR | GMB,"74,652",641,0.86%,INR,3.08,1977.21,24.49%,157.00,12.59
Thursday,1,Search campaign| wedding | Munj| Dec-25,11,2,18.18%,INR,3.55,7.09,0.00%,0.00,0.00
Thursday,3,GULMOHOR | SEARCH,"6,825",74,1.08%,INR,3.15,232.76,0.00%,0.00,0.00
Tuesday,9,GULMOHOR | SEARCH,"21,089",346,1.64%,INR,8.09,2799.52,3.76%,13.00,215.35
Friday,14,GULMOHOR | GMB,"79,945",695,0.87%,INR,3.15,2191.71,20.43%,142.00,15.43
Friday,7,GULMOHOR | GMB,"51,986",332,0.64%,INR,2.38,791.69,18.07%,60.00,13.19
Monday,23,GULMOHOR | SEARCH,"3,673",76,2.07%,INR,3.13,237.82,0.00%,0.00,0.00
Monday,3,Performance Max I GBH Feb-25,89,6,6.74%,INR,0.34,2.03,116.67%,7.00,0.29
Wednesday,8,GULMOHOR | SEARCH,"41,720",395,0.95%,INR,2.97,1173.89,2.03%,8.00,146.74
Monday,12,Performance Max I GBH Feb-25,"3,697",341,9.22%,INR,1.69,577.83,66.86%,228.00,2.53
Friday,18,Performance Max I GBH Feb-25,"4,802",379,7.89%,INR,1.47,557.82,70.45%,267.00,2.09
Thursday,2,GULMOHOR | GMB,"8,858",62,0.70%,INR,3.42,212.07,17.74%,11.00,19.28
Wednesday,20,GULMOHOR | GMB,"65,043",445,0.68%,INR,3.03,1346.19,22.92%,102.00,13.20
Tuesday,17,Search campaign| wedding | Munj| Dec-25,142,14,9.86%,INR,2.14,29.91,100.00%,14.00,2.14
Saturday,2,Search campaign| wedding | Munj| Dec-25,1,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
,,Total: Campaigns,"12,368,397","152,779",1.24%,INR,4.07,622174.74,30.54%,"46,656.00",13.34
,,Total: Account,"14,072,663","174,837",1.24%,INR,3.77,658461.80,26.69%,"46,656.00",14.11
,,Total: Search,"2,695,521","45,636",1.69%,INR,8.36,381435.00,6.99%,"3,188.00",119.65
,,Total: Smart,"9,270,193","69,217",0.75%,INR,2.67,184798.96,21.19%,"14,664.00",12.60
,,Total: Performance Max,"402,683","37,926",9.42%,INR,1.47,55940.79,75.95%,"28,804.00",1.94
,,Total: Display,"1,704,266","22,058",1.29%,INR,1.65,36287.05,0.00%,0.00,0.00
