Ad schedule day and hour report
All time
Day of the week,Hour of the day,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Monday,3,GULMOHOR | GMB,"6,452",29,0.45%,INR,3.22,93.26,24.14%,7.00,13.32
Monday,2,Performance Max I GBH Feb-25,85,6,7.06%,INR,0.50,2.99,50.00%,3.00,1.00
Tuesday,21,Performance Max I GBH Feb-25,"2,326",218,9.37%,INR,1.20,261.15,68.81%,150.00,1.74
Tuesday,19,GULMOHOR | SEARCH,"6,721",199,2.96%,INR,6.09,1211.14,4.52%,9.00,134.57
Monday,6,Performance Max I GBH Feb-25,181,12,6.63%,INR,0.59,7.11,100.00%,12.00,0.59
Wednesday,2,Performance Max I GBH Feb-25,189,8,4.23%,INR,1.44,11.53,87.50%,7.00,1.65
Thursday,8,Performance Max I GBH Feb-25,"1,825",171,9.37%,INR,1.38,236.69,73.10%,125.00,1.89
Wednesday,15,GULMOHOR | GMB,"79,913",573,0.72%,INR,2.92,1670.74,17.28%,99.00,16.88
Thursday,5,Performance Max I GBH Feb-25,128,11,8.59%,INR,1.02,11.18,100.00%,11.00,1.02
Sunday,22,GULMOHOR | GMB,"30,730",265,0.86%,INR,2.42,640.12,12.45%,33.00,19.40
Wednesday,11,Performance Max I GBH Feb-25,"4,472",398,8.90%,INR,1.19,475.09,79.65%,317.00,1.50
Friday,8,Performance Max I GBH Feb-25,"1,831",169,9.23%,INR,2.46,415.95,73.37%,124.00,3.35
Monday,20,GULMOHOR | GMB,"71,699",516,0.72%,INR,2.50,1291.60,28.97%,149.50,8.64
Wednesday,11,Search campaign| wedding | Munj| Dec-25,63,15,23.81%,INR,2.01,30.16,80.00%,12.00,2.51
Thursday,10,GULMOHOR | GMB,"88,002",630,0.72%,INR,2.61,1643.58,21.59%,136.00,12.09
Tuesday,19,Performance Max I GBH Feb-25,"4,030",404,10.02%,INR,1.50,604.85,84.90%,343.00,1.76
Wednesday,1,Performance Max I GBH Feb-25,296,5,1.69%,INR,1.38,6.92,40.00%,2.00,3.46
Friday,7,Search campaign| wedding | Munj| Dec-25,51,13,25.49%,INR,0.51,6.59,15.38%,2.00,3.30
Saturday,14,GULMOHOR | SEARCH,"9,311",345,3.71%,INR,11.85,4087.42,7.54%,26.00,157.21
Tuesday,13,GULMOHOR | SEARCH,"10,640",413,3.88%,INR,10.83,4473.98,7.99%,33.00,135.58
Thursday,18,Search campaign| wedding | Munj| Dec-25,73,13,17.81%,INR,1.07,13.89,0.00%,0.00,0.00
Friday,1,GULMOHOR | GMB,"18,265",129,0.71%,INR,3.36,433.07,9.30%,12.00,36.09
Sunday,6,GULMOHOR | GMB,"26,773",161,0.60%,INR,2.49,401.46,19.88%,32.00,12.55
Thursday,17,GULMOHOR | SEARCH,"8,992",274,3.05%,INR,11.30,3097.19,6.57%,18.00,172.07
Friday,2,GULMOHOR | SEARCH,"8,265",66,0.80%,INR,4.10,270.36,0.00%,0.00,0.00
Tuesday,4,GULMOHOR | SEARCH,"9,559",84,0.88%,INR,3.53,296.54,0.00%,0.00,0.00
Thursday,16,Search campaign| wedding | Munj| Dec-25,50,7,14.00%,INR,0.94,6.57,0.00%,0.00,0.00
Sunday,18,GULMOHOR | SEARCH,"8,407",267,3.18%,INR,9.96,2660.02,12.36%,33.00,80.61
Wednesday,22,GULMOHOR | SEARCH,"5,853",124,2.12%,INR,2.72,337.85,3.23%,4.00,84.46
Thursday,0,GULMOHOR | GMB,"27,990",214,0.76%,INR,2.99,638.91,9.35%,20.00,31.95
Monday,12,Search campaign| wedding | Munj| Dec-25,96,28,29.17%,INR,0.60,16.69,89.29%,25.00,0.67
Sunday,6,GULMOHOR | SEARCH,"29,954",277,0.92%,INR,3.00,830.11,0.00%,0.00,0.00
Saturday,16,GULMOHOR | SEARCH,"16,216",337,2.08%,INR,11.71,3944.63,11.57%,39.00,101.14
Thursday,14,GULMOHOR | GMB,"78,817",681,0.86%,INR,3.03,2061.80,18.82%,128.17,16.09
Wednesday,23,Performance Max I GBH Feb-25,275,14,5.09%,INR,1.26,17.70,50.00%,7.00,2.53
Thursday,22,GULMOHOR | GMB,"45,907",305,0.66%,INR,2.91,887.76,12.95%,39.50,22.47
Wednesday,17,GULMOHOR | GMB,"83,379",572,0.69%,INR,2.73,1561.63,18.53%,106.00,14.73
Wednesday,1,Search campaign| wedding | Munj| Dec-25,5,1,20.00%,INR,1.00,1.00,0.00%,0.00,0.00
Thursday,4,Search campaign| wedding | Munj| Dec-25,8,1,12.50%,INR,3.19,3.19,0.00%,0.00,0.00
Thursday,4,GULMOHOR | GMB,"7,585",45,0.59%,INR,2.31,103.80,28.89%,13.00,7.98
Friday,16,Performance Max I GBH Feb-25,"4,082",351,8.60%,INR,1.32,463.31,83.48%,293.00,1.58
Monday,17,Performance Max I GBH Feb-25,"3,419",366,10.70%,INR,1.01,368.88,78.69%,288.00,1.28
Sunday,18,GULMOHOR | GMB,"78,225",601,0.77%,INR,2.54,1527.21,29.45%,177.00,8.63
Thursday,0,GULMOHOR | SEARCH,"53,093",372,0.70%,INR,2.76,1025.36,0.00%,0.00,0.00
Tuesday,10,Performance Max I GBH Feb-25,"3,292",356,10.81%,INR,1.22,432.83,71.63%,255.00,1.70
Sunday,3,GULMOHOR | SEARCH,"7,307",69,0.94%,INR,3.44,237.42,0.00%,0.00,0.00
Wednesday,19,GULMOHOR | GMB,"82,043",532,0.65%,INR,3.07,1633.41,26.88%,143.00,11.42
Monday,23,Search campaign| wedding | Munj| Dec-25,21,6,28.57%,INR,0.60,3.61,33.33%,2.00,1.81
Monday,11,Search campaign| wedding | Munj| Dec-25,87,22,25.29%,INR,0.54,11.98,109.09%,24.00,0.50
Saturday,22,GULMOHOR | GMB,"28,337",204,0.72%,INR,2.59,527.98,16.67%,34.00,15.53
Sunday,0,Search campaign| wedding | Munj| Dec-25,24,4,16.67%,INR,0.47,1.86,25.00%,1.00,1.86
Monday,4,GULMOHOR | GMB,"7,906",37,0.47%,INR,3.03,112.04,8.11%,3.00,37.35
Sunday,22,GULMOHOR | SEARCH,"6,256",129,2.06%,INR,2.95,381.11,1.55%,2.00,190.56
Monday,1,GULMOHOR | GMB,"18,206",148,0.81%,INR,2.57,380.21,8.11%,12.00,31.68
Wednesday,10,GULMOHOR | GMB,"86,265",711,0.82%,INR,2.24,1589.57,17.86%,127.00,12.52
Friday,13,GULMOHOR | SEARCH,"9,634",361,3.75%,INR,13.38,4831.27,7.76%,28.00,172.55
Friday,6,Performance Max I GBH Feb-25,222,22,9.91%,INR,2.16,47.47,131.82%,29.00,1.64
Wednesday,15,Search campaign| wedding | Munj| Dec-25,56,13,23.21%,INR,1.41,18.32,0.00%,0.00,0.00
Wednesday,2,GULMOHOR | GMB,"9,136",61,0.67%,INR,3.34,203.99,14.75%,9.00,22.67
Friday,4,GULMOHOR | GMB,"8,559",44,0.51%,INR,2.62,115.34,15.91%,7.00,16.48
Sunday,23,GULMOHOR | SEARCH,"2,841",81,2.85%,INR,2.41,194.85,0.00%,0.00,0.00
Wednesday,18,GULMOHOR | SEARCH,"7,012",245,3.49%,INR,11.87,2908.52,8.57%,21.00,138.50
Friday,15,Performance Max I GBH Feb-25,"4,205",402,9.56%,INR,1.55,624.32,80.35%,323.00,1.93
Saturday,18,Performance Max I GBH Feb-25,"4,806",467,9.72%,INR,0.99,461.28,87.58%,409.00,1.13
Wednesday,7,Search campaign| wedding | Munj| Dec-25,24,1,4.17%,INR,8.56,8.56,100.00%,1.00,8.56
Friday,13,GULMOHOR | GMB,"87,205",692,0.79%,INR,2.80,1940.57,20.81%,144.00,13.48
Friday,21,Performance Max I GBH Feb-25,"2,661",156,5.86%,INR,1.35,210.11,60.26%,94.00,2.24
Sunday,7,GULMOHOR | GMB,"48,382",333,0.69%,INR,2.18,724.40,18.62%,62.00,11.68
Monday,20,GULMOHOR | SEARCH,"7,107",186,2.62%,INR,9.61,1787.11,8.06%,15.00,119.14
Monday,2,GULMOHOR | GMB,"9,195",57,0.62%,INR,3.15,179.54,19.30%,11.00,16.32
Monday,17,GULMOHOR | GMB,"84,944",626,0.74%,INR,2.61,1635.20,24.12%,151.00,10.83
Friday,14,Performance Max I GBH Feb-25,"4,151",373,8.99%,INR,1.64,611.96,73.46%,274.00,2.23
Tuesday,19,GULMOHOR | GMB,"81,498",578,0.71%,INR,2.70,1561.03,25.78%,149.00,10.48
Thursday,0,Performance Max I GBH Feb-25,453,21,4.64%,INR,1.91,40.17,57.14%,12.00,3.35
Thursday,7,GULMOHOR | GMB,"49,620",307,0.62%,INR,2.39,732.75,15.96%,49.00,14.95
Saturday,8,GULMOHOR | GMB,"73,332",524,0.71%,INR,2.48,1301.25,18.45%,96.67,13.46
Saturday,0,Performance Max I GBH Feb-25,380,21,5.53%,INR,1.79,37.63,80.95%,17.00,2.21
Tuesday,10,GULMOHOR | SEARCH,"24,106",456,1.89%,INR,13.07,5960.85,3.29%,15.00,397.39
Wednesday,19,Performance Max I GBH Feb-25,"4,241",413,9.74%,INR,1.27,525.74,72.15%,298.00,1.76
Wednesday,3,GULMOHOR | SEARCH,"7,675",74,0.96%,INR,7.14,528.04,0.00%,0.00,0.00
Monday,13,Search campaign| wedding | Munj| Dec-25,81,19,23.46%,INR,0.67,12.73,94.74%,18.00,0.71
Friday,23,GULMOHOR | GMB,"24,222",169,0.70%,INR,2.35,396.34,18.93%,32.00,12.39
Thursday,3,Search campaign| wedding | Munj| Dec-25,14,2,14.29%,INR,1.27,2.53,0.00%,0.00,0.00
Saturday,11,Performance Max I GBH Feb-25,"4,744",406,8.56%,INR,1.64,664.00,83.74%,340.00,1.95
Friday,4,Search campaign| wedding | Munj| Dec-25,9,4,44.44%,INR,1.41,5.66,50.00%,2.00,2.83
Sunday,4,Performance Max I GBH Feb-25,76,7,9.21%,INR,2.43,17.03,71.43%,5.00,3.41
Monday,4,Search campaign| wedding | Munj| Dec-25,1,0,0.00%,INR,0,0.00,0.00%,0.00,0.00
Thursday,16,GULMOHOR | GMB,"76,534",601,0.79%,INR,3.10,1860.64,19.47%,117.00,15.90
Wednesday,11,GULMOHOR | GMB,"91,952",806,0.88%,INR,2.35,1892.77,19.73%,159.00,11.90
Saturday,9,GULMOHOR | SEARCH,"33,991",534,1.57%,INR,6.92,3694.49,2.06%,11.00,335.86
Thursday,21,Search campaign| wedding | Munj| Dec-25,25,1,4.00%,INR,1.04,1.04,0.00%,0.00,0.00
Sunday,6,Performance Max I GBH Feb-25,177,14,7.91%,INR,1.37,19.14,78.57%,11.00,1.74
Sunday,9,Search campaign| wedding | Munj| Dec-25,51,3,5.88%,INR,0.43,1.29,66.67%,2.00,0.65
Thursday,17,Performance Max I GBH Feb-25,"4,348",374,8.60%,INR,1.49,557.69,80.48%,301.00,1.85
Sunday,14,GULMOHOR | SEARCH,"14,165",398,2.81%,INR,8.79,3498.11,10.80%,43.00,81.35
Tuesday,2,GULMOHOR | GMB,"7,594",59,0.78%,INR,2.84,167.31,18.64%,11.00,15.21
Monday,5,GULMOHOR | GMB,"12,513",59,0.47%,INR,2.53,149.08,15.25%,9.00,16.56
Friday,19,GULMOHOR | SEARCH,"8,268",240,2.90%,INR,8.92,2140.48,3.33%,8.00,267.56
Wednesday,20,GULMOHOR | SEARCH,"6,319",147,2.33%,INR,6.73,989.41,2.04%,3.00,329.80
Saturday,10,GULMOHOR | GMB,"88,459",675,0.76%,INR,2.83,1911.47,24.15%,163.00,11.73
Saturday,16,Performance Max I GBH Feb-25,"4,281",422,9.86%,INR,1.25,526.87,83.41%,352.00,1.50
Sunday,8,GULMOHOR | GMB,"70,370",573,0.81%,INR,2.15,1231.43,24.43%,140.00,8.80
Tuesday,4,GULMOHOR | GMB,"7,579",37,0.49%,INR,2.97,110.04,18.92%,7.00,15.72
Sunday,8,GULMOHOR | SEARCH,"33,280",406,1.22%,INR,5.31,2154.56,2.71%,11.00,195.87
Tuesday,14,Performance Max I GBH Feb-25,"3,666",374,10.20%,INR,1.49,556.66,77.81%,291.00,1.91
