Age report
All time
Demographic status,Age,Campaign,Ad group,Status,Bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Removed,Unknown,GULMOHOR | SEARCH,#Birthday,Excluded from ad group, --,"169,553","1,906",1.12%,INR,8.64,16461.90,0.21%,4.00,4115.47
Enabled,25 - 34,GULMOHOR | SEARCH,#Engagement,Eligible, --,"35,927","1,126",3.13%,INR,7.49,8431.68,9.77%,110.00,76.65
Removed,65+,GULMOHOR | SEARCH,#Babyshower,Excluded from ad group, --,305,27,8.85%,INR,24.39,658.41,0.00%,0.00,0.00
Removed,65+,GULMOHOR | SEARCH,#Engagement,Excluded from ad group, --,"5,103",134,2.63%,INR,12.97,1738.44,0.00%,0.00,0.00
Enabled,35 - 44,GULMOHOR | SEARCH,#Babyshower,Eligible, --,"3,077",315,10.24%,INR,8.92,2808.54,39.84%,125.50,22.38
Removed,18 - 24,GULMOHOR | SEARCH,#Engagement,Excluded from ad group, --,"41,624",587,1.41%,INR,6.05,3548.54,0.00%,0.00,0.00
Total: Ages,,,,,,"1,354,560","56,098",4.14%,INR,4.37,245135.48,56.51%,"31,700.33",7.73
Total: Display automatic targeting,,,,,,0,0, --,INR,0,0.00,0.00%,0.00,0.00
Total: Account,,,,,,"14,072,648","174,836",1.24%,INR,3.77,658461.21,26.69%,"46,656.00",14.11
Total: Smart,,,,,,"9,270,180","69,217",0.75%,INR,2.67,184798.96,21.19%,"14,664.00",12.60
Total: Search,,,,,,"2,695,520","45,636",1.69%,INR,8.36,381435.00,6.99%,"3,188.00",119.65
Total: Performance Max,,,,,,"402,682","37,925",9.42%,INR,1.48,55940.20,75.95%,"28,804.00",1.94
Total: Display,,,,,,"1,704,266","22,058",1.29%,INR,1.65,36287.05,0.00%,0.00,0.00
